File Name;Execution;Number of vertices;Number of edges;Min count;Max count;Block Ordering;Random guess;Random distance;Random hit;Predictor guess;Predictor distance;Predictor hit;Profile guess;Profile distance;Profile hit;Benchmark link
extr_Arduinotestsdevicetest_libcmemmove1.c_mymemmove.c;0;16;21;0;256;"13;16;0;0_10.ce;10;10_12.ce;12;20;32;21;24;27;31;7;7_10.ce;7_12.ce";"7;16;0;31;7_12.ce;32;12;21;7_10.ce;13;20;24;27;0_10.ce;10;10_12.ce";67;0,4417;"13;16;24;27;0;32;10;12;20;0_10.ce;7;10_12.ce;21;31;7_10.ce;7_12.ce";29;0,7583;"13;16;0;0_10.ce;10;10_12.ce;12;20;32;21;24;27;31;7;7_10.ce;7_12.ce";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_Arduinotestsdevicetest_libcmemmove1.c_mymemmove.c
extr_Arduinotestsdevicetest_libcmemmove1.c_mymemmove.c;1;16;21;0;11;"13;16;0;0_10.ce;10;10_12.ce;12;20;32;21;24;27;31;7;7_10.ce;7_12.ce";"7;16;0;31;7_12.ce;32;12;21;7_10.ce;13;20;24;27;0_10.ce;10;10_12.ce";67;0,4417;"13;16;24;27;0;32;10;12;20;0_10.ce;7;10_12.ce;21;31;7_10.ce;7_12.ce";29;0,7583;"13;16;0;0_10.ce;10;10_12.ce;12;20;32;21;24;27;31;7;7_10.ce;7_12.ce";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_Arduinotestsdevicetest_libcmemmove1.c_mymemmove.c
extr_Arduinotestsdevicetest_libctstring.c_mycopy.c;0;5;6;1;256;"3;10;4;0;12";"10;4;12;0;3";5;0,5000;"3;10;4;0;12";0;1,0000;"3;10;4;0;12";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_Arduinotestsdevicetest_libctstring.c_mycopy.c
extr_Arduinotestsdevicetest_libctstring.c_mycopy.c;1;5;6;1;11;"3;10;4;0;12";"10;4;12;0;3";5;0,5000;"3;10;4;0;12";0;1,0000;"3;10;4;0;12";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_Arduinotestsdevicetest_libctstring.c_mycopy.c
extr_Arduinotestsdevicetest_libctstring.c_mycopy.c;2;5;6;0;1;"0;12;3;10;4";"10;4;12;0;3";7;0,3000;"3;10;4;0;12";6;0,4000;"3;10;4;0;12";6;0,4000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_Arduinotestsdevicetest_libctstring.c_mycopy.c
extr_Arduinotestsdevicetest_libctstring.c_myset.c;0;5;6;1;11;"3;4;7;0;9";"7;4;9;0;3";6;0,4000;"3;4;7;0;9";0;1,0000;"3;4;7;0;9";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_Arduinotestsdevicetest_libctstring.c_myset.c
extr_Arduinotestshostcommonmd5.c_Encode.c;0;5;6;1;65;"4;40;5;0;43";"40;5;43;0;4";5;0,5000;"4;40;5;0;43";0;1,0000;"4;40;5;0;43";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_Arduinotestshostcommonmd5.c_Encode.c
extr_Arduinotestshostcommonmd5.c_Encode.c;1;5;6;1;4;"4;40;5;0;43";"40;5;43;0;4";5;0,5000;"4;40;5;0;43";0;1,0000;"4;40;5;0;43";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_Arduinotestshostcommonmd5.c_Encode.c
extr_Arduinotestshostcommonmd5.c_Encode.c;2;5;6;0;1;"0;4;43;40;5";"40;5;43;0;4";8;0,2000;"4;40;5;0;43";5;0,5000;"4;40;5;0;43";5;0,5000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_Arduinotestshostcommonmd5.c_Encode.c
extr_BGAQRCode-Androidzbarsrcmainjnizbardecoderdatabar.c_append_check14.c;0;10;13;0;14;"3;23;5;17;5_23.ce;0;24;29;33;24_33.ce";"5;33;0;23;17;24;24_33.ce;3;5_23.ce;29";20;0,5556;"3;23;5;17;5_23.ce;0;24;33;29;24_33.ce";1;0,9778;"3;23;5;17;5_23.ce;0;24;29;33;24_33.ce";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_BGAQRCode-Androidzbarsrcmainjnizbardecoderdatabar.c_append_check14.c
