Benchmark name;Random;Nested;Predictor;Profile;Profile+Nisse;Random;Predictor;Profile;Profile+Nisse
automotive_bitcount;94,944;56,233;48,618;64,051;4685,004;47,975;59,840;79,766;4650,572
automotive_qsort1;9,651;9,769;12,413;26,232;3688,866;9,853;12,734;24,990;3666,733
automotive_susan_c;32,719;33,373;61,638;564,501;5112,041;32,948;64,287;564,586;5147,652
automotive_susan_e;34,293;33,429;62,191;564,302;4909,746;33,207;65,562;564,839;4866,790
automotive_susan_s;32,633;33,772;61,856;552,098;4832,663;33,441;64,034;562,686;4912,189
bzip2d;81,894;85,829;261,768;5941,337;14132,538;82,451;268,629;5797,708;14127,192
bzip2e;81,921;82,389;258,891;5859,678;14046,971;82,486;266,895;5813,862;13515,335
network_dijkstra;9,625;9,711;11,300;19,886;706,970;9,694;11,384;20,164;713,888
network_patricia;11,818;11,971;15,243;42,921;3235,431;11,494;15,752;43,149;3208,482
office_stringsearch1;11,436;12,131;16,836;48,811;4403,932;11,583;17,457;49,200;4019,101
security_blowfish_d;15,847;16,049;19,422;68,300;6900,206;15,719;19,832;68,852;6982,134
security_blowfish_e;15,877;15,978;19,204;68,614;6794,628;16,474;20,324;68,800;6772,727
security_rijndael_d;27,452;27,876;31,193;171,759;23820,308;27,816;31,652;170,780;22378,979
security_sha;10,242;10,320;13,570;25,902;7858,004;10,214;12,084;26,504;7874,860
telecom_CRC32;8,689;8,835;11,049;13,344;1855,447;8,798;9,813;13,683;1873,324
telecom_adpcm_c;9,069;9,207;10,775;17,673;3130,698;9,170;11,030;18,254;3156,851
telecom_adpcm_d;9,620;9,733;11,362;18,012;4992,709;9,326;11,147;18,413;4959,735
