Benchmark name;Random;Nested;Predictor;Profile;Profile+Nisse;Random;Predictor;Profile;Profile+Nisse
automotive_bitcount;36,376;18,297;21,172;35,660;5633,813;10,424;38,223;35,958;5674,856
automotive_qsort1;9,649;9,961;11,947;23,969;3919,897;9,638;11,915;23,946;3914,666
automotive_susan_c;31,815;32,698;47,274;431,618;7429,759;32,057;47,437;433,767;7260,675
automotive_susan_e;30,986;31,740;46,104;432,071;5328,169;31,315;47,608;434,391;5298,111
automotive_susan_s;31,653;31,806;45,908;430,160;4851,852;31,254;47,037;432,886;4839,368
bzip2d;79,188;80,903;211,630;5049,915;15004,062;77,580;217,687;5157,207;14579,942
bzip2e;80,264;81,914;212,302;5111,956;14098,877;79,084;217,583;5106,805;14276,880
network_dijkstra;9,845;9,915;11,362;19,954;822,011;9,778;11,455;20,913;815,057
network_patricia;11,585;11,647;14,349;38,688;3312,697;11,570;15,070;38,817;3189,186
office_stringsearch1;11,801;12,097;15,925;48,358;4158,993;15,047;22,329;48,513;4811,622
security_blowfish_d;15,607;15,929;18,261;62,021;7031,327;15,685;18,504;67,043;6988,212
security_blowfish_e;15,740;16,374;18,286;63,646;6826,074;16,034;18,587;63,097;6981,419
security_rijndael_d;27,312;28,070;30,151;165,422;21335,869;27,314;29,920;165,067;22706,267
security_sha;10,311;10,414;11,790;25,998;8130,566;10,530;12,249;25,968;8212,271
telecom_CRC32;8,609;8,864;9,528;13,519;1937,505;8,859;9,901;13,642;1971,040
telecom_adpcm_c;8,816;8,973;9,763;14,438;4170,549;9,246;9,987;14,389;4169,298
telecom_adpcm_d;9,230;9,251;10,012;13,950;4761,694;9,350;10,191;14,470;4834,468
