Benchmark name;Random;Nested;Predictor;Profile;Profile+Nisse;Random;Predictor;Profile;Profile+Nisse
automotive_bitcount;14,636;14,950;35,905;55,671;4925,127;13,081;60,689;87,459;4793,351
automotive_qsort1;10,802;11,243;16,440;29,136;3797,703;10,920;17,122;30,190;3751,739
automotive_susan_c;31,555;32,398;66,324;577,732;6020,354;32,648;68,968;619,332;6582,214
automotive_susan_e;32,186;32,680;64,642;574,422;5314,849;32,551;68,402;632,963;5267,572
automotive_susan_s;31,518;32,333;66,009;566,009;5154,934;32,425;68,625;617,715;5191,019
bzip2d;102,516;106,112;529,860;4418,063;13816,924;101,516;542,641;4764,638;14085,987
bzip2e;100,634;119,170;526,874;5019,394;14302,113;104,268;544,803;4761,663;13579,330
network_dijkstra;11,660;12,074;13,975;23,756;807,003;10,613;16,455;24,188;751,735
network_patricia;10,951;11,336;15,146;70,001;4149,945;11,394;15,336;46,807;3329,588
office_stringsearch1;13,364;14,660;22,735;59,930;4328,336;13,357;22,854;63,851;4223,902
security_blowfish_d;16,359;16,637;19,346;70,848;7004,991;16,137;20,083;72,784;6922,388
security_blowfish_e;17,494;17,073;19,442;69,684;6929,789;16,513;19,770;74,115;6866,015
security_rijndael_d;23,701;24,094;27,297;170,011;30881,742;23,412;27,764;170,933;23430,897
security_sha;12,880;13,284;14,385;28,703;8438,510;13,316;14,235;27,362;8233,604
telecom_CRC32;10,267;10,194;11,949;15,669;1954,256;21,584;13,858;15,337;1920,611
telecom_adpcm_c;9,645;9,823;10,520;17,453;3360,738;9,692;10,663;16,612;3210,070
telecom_adpcm_d;9,638;9,753;10,662;16,025;5112,454;9,640;10,567;17,030;5100,501
