Benchmark Name;Function Name;Execution;Number of vertices;Number of edges;Min count;Max count;Hottest blocks;Random hottest guess;Random hit;Nested hottest guess;Nested hit;Predictor guess;Predictor hit;Profile guess;Profile hit;Benchmark link
automotive_bitcount;bit_count;1;5;7;90000000;1059527520;3;0;0;3;1;3;1;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_count;2;5;7;82875000;1010273706;3;0;0;3;1;3;1;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_count;3;5;7;81250000;1011645882;3;0;0;3;1;3;1;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_count;4;5;7;78375000;992701303;3;0;0;3;1;3;1;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_count;5;5;7;76875000;997326315;3;0;0;3;1;3;1;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_count;6;5;7;79625000;1030727802;3;0;0;3;1;3;1;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_count;7;5;7;78375000;1022128404;3;0;0;3;1;3;1;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_count;8;5;7;73125000;962031231;3;0;0;3;1;3;1;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_count;9;5;7;73000000;969602440;3;0;0;3;1;3;1;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_count;10;5;7;70875000;952589974;3;0;0;3;1;3;1;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_count;11;5;7;78750000;1057163513;3;0;0;3;1;3;1;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_count;12;5;7;102500000;1484336036;3;0;0;3;1;3;1;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_count;13;5;7;92812500;932265675;3;0;0;3;1;3;1;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_count;14;5;7;90737500;952402577;3;0;0;3;1;3;1;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_count;15;5;7;89375000;975827710;3;0;0;3;1;3;1;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_count;16;5;7;88687500;974202625;3;0;0;3;1;3;1;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_count;17;5;7;88150000;983807836;3;0;0;3;1;3;1;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;bit_count;18;5;7;88150000;983807836;3;0;0;3;1;3;1;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
