Benchmark Name;Function Name;Execution;Number of vertices;Number of edges;Min count;Max count;Block Ordering;Hydra Guess;Hydra Distance;Hydra Hit
automotive_bitcount;bit_count;1;7;9;0;1059527520;"3;3_3.ce;0;10;2;9;0_10.ce";"0;2;0_10.ce;10;3;3_3.ce;9";11;0,4762
automotive_bitcount;bit_shifter;1;7;9;90000000;2146754800;"3;7;4;9;0;16;3_7.ce";"0;3;7;4;16;3_7.ce;9";6;0,7143
automotive_bitcount;main;1;7;9;0;81;"11;14;0;22;23;8;5";"0;11;22;23;8;14;5";5;0,7619
automotive_bitcount;main1;1;15;19;0;630000560;"20;23;17;19;33;40;33_40.ce;0;16;43;9;9_16.ce;35;14;6";"20;40;23;0;17;9_16.ce;19;33_40.ce;16;43;9;35;14;33;6";20;0,8095
automotive_bitcount;ntbl_bitcnt;1;4;5;90000000;533116880;"0;11;8;0_11.ce";"0;11;8;0_11.ce";0;1,0000
automotive_qsort1;compare;1;4;5;73275076;148365384;"0;11;7;6";"0;11;7;6";0;1,0000
automotive_qsort1;main;1;7;9;0;227;"11;14;0;22;23;8;5";"0;11;22;23;8;14;5";5;0,7619
automotive_qsort1;main1;1;24;31;0;8170578;"15;26;18;21;24;28;0;11;15_26.ce;57;63;94;57_63.ce;63_94.ce;73;75;61;66;72;92;18_26.ce;21_26.ce;69;8";"15;24;26;18;21;28;0;61;11;15_26.ce;94;57_63.ce;63_94.ce;73;66;72;92;18_26.ce;21_26.ce;57;63;69;75;8";36;0,8696
automotive_qsort1;qsortx;1;43;57;0;68230078;"49;58;55;38;46;43;58_49.ce;46_38.ce;37;48;60;63;20;20_ter.outer;20_ter.backedge.outer.backedge;108;111;30;62;29;73;77;86;90;98;88;102;92;107;106;90_98.ce;89;49_58.ce;38_46.ce;0;118;119;12;15;0_14.ce;12_14.ce;14;73_86.ce";"0;12;48;58;55;46;43;46_38.ce;37;60;63;20;20_ter.outer;20_ter.backedge.outer.backedge;108;111;12_14.ce;30;62;29;86;90;88;92;107;89;90_98.ce;49_58.ce;38_46.ce;118;119;15;0_14.ce;102;106;14;38;49;58_49.ce;73;73_86.ce;77;98";261;0,7110
automotive_qsort1;shortsort;1;10;13;1280290;20260674;"10;12;16;12_16.ce;6;15;20;7;0;24";"0;10;7;12;12_16.ce;6;24;15;16;20";20;0,5556
automotive_qsort1;swap;1;7;9;1622906;743732100;"6;9;0;15;14;5;0_15.ce";"6;9;0;15;14;5;0_15.ce";0;1,0000
automotive_susan_c;corner_draw;1;7;9;0;279174;"4;11;55;9;0;56;40";"4;11;55;9;0;56;40";0;1,0000
automotive_susan_c;get_image;1;10;11;0;782;"0;20;28;47;9;20_25.ce;25;44;6;9_25.ce";"0;28;47;20;20_25.ce;25;44;6;9;9_25.ce";6;0,8667
automotive_susan_c;getint;1;21;27;0;7038;"22;29;31;34;14;4;4_9.ce;9;0;16;18;29_33.ce;33;36;14_19.ce;19;11;16_19.ce;28;33split;6";"18;22;29;29_33.ce;31;14;4;4_9.ce;9;0;16;28;36;14_19.ce;19;11;16_19.ce;33;33split;34;6";43;0,7952
automotive_susan_c;main;1;7;9;0;783;"11;14;0;17;18;8;5";"0;11;8;17;18;14;5";7;0,6667
automotive_susan_c;main1;1;57;82;0;1564;"36;0;0_33.ce;154;171;179;185;189;191;33;38;45;51;81;83;85;85_90.ce;90;105;107;112;117;122;133;138;143;143_148.ce;145;148;152;162;173;32;45_81.ce;49;50;52;53;54;55;56;57;60;62;62_70.ce;69;70;71;74;76;82;87;87_90.ce;89;90_191.ce;91;97";"33;36;0;0_33.ce;154;171;189;191;38;45;45_81.ce;81;83;85;85_90.ce;90;105;107;112;117;122;133;138;143;143_148.ce;145;148;152;162;173;179;185;32;49;50;51;52;53;54;55;56;57;60;62;62_70.ce;69;70;71;74;76;82;87;87_90.ce;89;90_191.ce;91;97";100;0,9373
automotive_susan_c;setup_brightness_lut;1;7;9;0;401948;"6;15;18;8;0;28;8_18.ce";"0;6;15;8;28;18;8_18.ce";6;0,7143
automotive_susan_c;susan_corners;1;199;280;0;203351280;"1077;26;1066;1080;1549;29;1080_1549.ce;29_1066.ce;1065;213;1064;225;1063;236;1062;246;1061;260;1060;271;1059;282;1058;293;1057;304;1056;315;1055;325;1054;339;1053;350;1052;361;1051;372;1050;382;213_1065.ce;1049;396;1048;407;1047;417;225_1064.ce;1026;1046;846;417_1047.ce;236_1063.ce;1026_1046.ce;260_1061.ce;848;864;891;920;282_1059.ce;246_1062.ce;1013;937;956;984;271_1060.ce;293_1058.ce;304_1057.ce;860;886;915;339_1054.ce;856;881;910;1008;952;979;1003;948;974;315_1056.ce;361_1052.ce;325_1055.ce;350_1053.ce;1028;1087;1548;1096;1105;1114;1122;372_1051.ce;1131;1140;1149;1158;1167;1176;1184;1193;1202;1211;1220;1229;1238;1246;1255;1264;396_1049.ce;1273;1281;382_1050.ce;1289;1297;1305;1313;1321;1330;1339;1348;1073;22;1069;1076;1552;25;407_1048.ce;1356;1365;1374;1383;1392;1401;1410;1418;1427;1436;1445;1454;1463;1472;1480;1489;1498;1507;1547;1289_1548.ce;1238_1548.ce;1348_1548.ce;1297_1548.ce;1176_1548.ce;1105_1548.ce;1229_1548.ce;1167_1548.ce;1114_1548.ce;1211_1548.ce;1281_1548.ce;1246_1548.ce;1273_1548.ce;1339_1548.ce;1184_1548.ce;1122_1548.ce;1220_1548.ce;1255_1548.ce;1096_1548.ce;1313_1548.ce;1158_1548.ce;1330_1548.ce;1410_1548.ce;1264_1548.ce;1305_1548.ce;1087_1548.ce;1140_1548.ce;1149_1548.ce;1321_1548.ce;1356_1548.ce;1131_1548.ce;1202_1548.ce;1365_1548.ce;1193_1548.ce;1463_1548.ce;1472_1548.ce;1374_1548.ce;1392_1548.ce;1401_1548.ce;1489_1548.ce;1418_1548.ce;1427_1548.ce;1445_1548.ce;1436_1548.ce;1498_1548.ce;0;1072;1383_1548.ce;1480_1548.ce;1555;1454_1548.ce;1544";"26;1066;1080;1548;1065;29;1080_1549.ce;29_1066.ce;225;1047;213;1064;1063;236;1062;1061;260;1060;271;1059;282;1058;293;1087;1057;304;1056;315;1055;1054;339;1053;350;1052;361;1051;372;1050;213_1065.ce;0;1049;396;1048;407;417;417_1047.ce;225_1064.ce;1026;846;236_1063.ce;1026_1046.ce;260_1061.ce;848;864;891;920;282_1059.ce;246_1062.ce;1013;937;956;984;271_1060.ce;293_1058.ce;25;304_1057.ce;860;339_1054.ce;856;952;948;315_1056.ce;361_1052.ce;325_1055.ce;350_1053.ce;1087_1548.ce;372_1051.ce;1149;1211;396_1049.ce;382_1050.ce;22;1069;407_1048.ce;1555;1003;1008;1028;1046;1072;1073;1076;1077;1096;1096_1548.ce;1105;1105_1548.ce;1114;1114_1548.ce;1122;1122_1548.ce;1131;1131_1548.ce;1140;1140_1548.ce;1149_1548.ce;1158;1158_1548.ce;1167;1167_1548.ce;1176;1176_1548.ce;1184;1184_1548.ce;1193;1193_1548.ce;1202;1202_1548.ce;1211_1548.ce;1220;1220_1548.ce;1229;1229_1548.ce;1238;1238_1548.ce;1246;1246_1548.ce;1255;1255_1548.ce;1264;1264_1548.ce;1273;1273_1548.ce;1281;1281_1548.ce;1289;1289_1548.ce;1297;1297_1548.ce;1305;1305_1548.ce;1313;1313_1548.ce;1321;1321_1548.ce;1330;1330_1548.ce;1339;1339_1548.ce;1348;1348_1548.ce;1356;1356_1548.ce;1365;1365_1548.ce;1374;1374_1548.ce;1383;1383_1548.ce;1392;1392_1548.ce;1401;1401_1548.ce;1410;1410_1548.ce;1418;1418_1548.ce;1427;1427_1548.ce;1436;1436_1548.ce;1445;1445_1548.ce;1454;1454_1548.ce;1463;1463_1548.ce;1472;1472_1548.ce;1480;1480_1548.ce;1489;1489_1548.ce;1498;1498_1548.ce;1507;1544;1547;1549;1552;246;325;382;881;886;910;915;974;979";3933;0,8004
automotive_susan_e;edge_draw;1;16;21;0;100980374;"42;8;11;36;45;54;11_36.ce;45_54.ce;15;49;0;40;41;58;7;0_41.ce";"0;42;8;11;45;11_36.ce;45_54.ce;15;49;40;41;58;7;0_41.ce;36;54";29;0,7583
automotive_susan_e;get_image;1;10;11;0;374;"0;20;28;47;9;20_25.ce;25;44;6;9_25.ce";"0;28;47;20;20_25.ce;25;44;6;9;9_25.ce";6;0,8667
automotive_susan_e;getint;1;21;27;0;3366;"22;29;31;34;14;4;4_9.ce;9;0;16;18;29_33.ce;33;36;14_19.ce;19;11;16_19.ce;28;33split;6";"18;22;29;29_33.ce;31;14;4;4_9.ce;9;0;16;28;36;14_19.ce;19;11;16_19.ce;33;33split;34;6";43;0,7952
automotive_susan_e;main;1;7;9;0;375;"11;14;0;17;18;8;5";"0;11;8;17;18;14;5";7;0,6667
automotive_susan_e;main1;1;57;82;0;748;"36;0;0_33.ce;122;138;143;145;148;152;191;33;38;45;50;81;83;85;85_90.ce;90;97;105;107;112;117;133;143_148.ce;154;162;171;173;179;185;189;32;45_81.ce;49;51;52;53;54;55;56;57;60;62;62_70.ce;69;70;71;74;76;82;87;87_90.ce;89;90_191.ce;91";"36;0;0_33.ce;122;133;143;145;148;152;191;33;38;45;45_81.ce;81;83;85;85_90.ce;90;97;105;107;112;117;138;143_148.ce;154;162;171;173;179;185;189;32;49;50;51;52;53;54;55;56;57;60;62;62_70.ce;69;70;71;74;76;82;87;87_90.ce;89;90_191.ce;91";79;0,9505
automotive_susan_e;setup_brightness_lut;1;7;9;0;192236;"6;15;18;8;0;28;8_18.ce";"0;6;15;8;28;18;8_18.ce";6;0,7143
