Benchmark Name;Function Name;Execution;Number of vertices;Number of edges;Min count;Max count;Block Ordering;Hydra Guess;Hydra Distance;Hydra Hit
automotive_bitcount;ntbl_bitcnt;1;4;5;90000000;533116880;"0;11;8;0_11.ce";"0;11;8;0_11.ce";0;1,0000
bzip2d;default_bzfree;1;4;5;0;160;"0;2;3;0_3.ce";"0;2;3;0_3.ce";0;1,0000
bzip2d;fileExists;1;4;5;0;80;"0;5;7;0_7.ce";"0;5;7;0_7.ce";0;1,0000
bzip2e;BZ2_compressBlock;1;22;29;0;80;"0;27;27_42.ce;4;42;43;59;63;68;82;25;43_59.ce;4_27.ce;54;68_82.ce;70;70_81.ce;81;0_43.ce;31;59_68.ce;76";"0;27;27_42.ce;4;42;43;59;63;68;82;25;43_59.ce;4_27.ce;54;68_82.ce;70;70_81.ce;81;0_43.ce;31;59_68.ce;76";0;1,0000
bzip2e;default_bzfree;1;4;5;0;160;"0;2;3;0_3.ce";"0;2;3;0_3.ce";0;1,0000
bzip2e;fileExists;1;4;5;0;40;"0;5;7;0_7.ce";"0;5;7;0_7.ce";0;1,0000
bzip2e;flush_RL;1;4;5;0;40;"0;3;4;0_4.ce";"0;3;4;0_4.ce";0;1,0000
network_dijkstra;dequeue;1;4;5;0;14500000;"0;20;5;0_20.ce";"0;20;5;0_20.ce";0;1,0000
network_dijkstra;print_path;1;4;5;5;11;"0;11;6;0_11.ce";"0;11;6;0_11.ce";0;1,0000
security_blowfish_d;BF_encrypt;1;4;5;0;89103491;"0;12;826;419";"0;12;826;419";0;1,0000
security_blowfish_e;BF_encrypt;1;4;5;0;89103491;"0;12;826;419";"0;12;826;419";0;1,0000
security_sha;sha_final;1;4;5;0;321506;"0;22;28;13";"0;22;28;13";0;1,0000
