Benchmark Name;Function Name;Execution;Number of vertices;Number of edges;Min count;Max count;Block Ordering;Guess;Distance;Hit
automotive_bitcount;bit_count;1;7;9;0;1059527520;"1;1_1.ce;0;1.ph;8;8.le;0_8.ce";"1;1_1.ce;1.ph;8.le;0;8;0_8.ce";3;0,8571
automotive_bitcount;bit_count;2;7;9;0;1010273706;"1;1_1.ce;0;1.ph;8;8.le;0_8.ce";"1;1_1.ce;1.ph;8.le;0;8;0_8.ce";3;0,8571
automotive_bitcount;bit_count;3;7;9;0;1011645882;"1;1_1.ce;0;1.ph;8;8.le;0_8.ce";"1;1_1.ce;1.ph;8.le;0;8;0_8.ce";3;0,8571
automotive_bitcount;bit_count;4;7;9;0;992701303;"1;1_1.ce;0;1.ph;8;8.le;0_8.ce";"1;1_1.ce;1.ph;8.le;0;8;0_8.ce";3;0,8571
automotive_bitcount;bit_count;5;7;9;0;997326315;"1;1_1.ce;0;1.ph;8;8.le;0_8.ce";"1;1_1.ce;1.ph;8.le;0;8;0_8.ce";3;0,8571
automotive_bitcount;bit_count;6;7;9;0;1030727802;"1;1_1.ce;0;1.ph;8;8.le;0_8.ce";"1;1_1.ce;1.ph;8.le;0;8;0_8.ce";3;0,8571
automotive_bitcount;bit_count;7;7;9;0;1022128404;"1;1_1.ce;0;1.ph;8;8.le;0_8.ce";"1;1_1.ce;1.ph;8.le;0;8;0_8.ce";3;0,8571
automotive_bitcount;bit_count;8;7;9;0;962031231;"1;1_1.ce;0;1.ph;8;8.le;0_8.ce";"1;1_1.ce;1.ph;8.le;0;8;0_8.ce";3;0,8571
automotive_bitcount;bit_count;9;7;9;0;969602440;"1;1_1.ce;0;1.ph;8;8.le;0_8.ce";"1;1_1.ce;1.ph;8.le;0;8;0_8.ce";3;0,8571
automotive_bitcount;bit_count;10;7;9;0;952589974;"1;1_1.ce;0;1.ph;8;8.le;0_8.ce";"1;1_1.ce;1.ph;8.le;0;8;0_8.ce";3;0,8571
automotive_bitcount;bit_count;11;7;9;0;1057163513;"1;1_1.ce;0;1.ph;8;8.le;0_8.ce";"1;1_1.ce;1.ph;8.le;0;8;0_8.ce";3;0,8571
automotive_bitcount;bit_count;12;7;9;0;1484336036;"1;1_1.ce;0;1.ph;8;8.le;0_8.ce";"1;1_1.ce;1.ph;8.le;0;8;0_8.ce";3;0,8571
automotive_bitcount;bit_count;13;7;9;0;932265675;"1;1_1.ce;0;1.ph;8;8.le;0_8.ce";"1;1_1.ce;1.ph;8.le;0;8;0_8.ce";3;0,8571
automotive_bitcount;bit_count;14;7;9;0;952402577;"1;1_1.ce;0;1.ph;8;8.le;0_8.ce";"1;1_1.ce;1.ph;8.le;0;8;0_8.ce";3;0,8571
automotive_bitcount;bit_count;15;7;9;0;975827710;"1;1_1.ce;0;1.ph;8;8.le;0_8.ce";"1;1_1.ce;1.ph;8.le;0;8;0_8.ce";3;0,8571
automotive_bitcount;bit_count;16;7;9;0;974202625;"1;1_1.ce;0;1.ph;8;8.le;0_8.ce";"1;1_1.ce;1.ph;8.le;0;8;0_8.ce";3;0,8571
automotive_bitcount;bit_count;17;7;9;0;983807836;"1;1_1.ce;0;1.ph;8;8.le;0_8.ce";"1;1_1.ce;1.ph;8.le;0;8;0_8.ce";3;0,8571
automotive_bitcount;bit_count;18;7;9;0;983807836;"1;1_1.ce;0;1.ph;8;8.le;0_8.ce";"1;1_1.ce;1.ph;8.le;0;8;0_8.ce";3;0,8571
automotive_bitcount;bit_count;19;7;9;0;996435297;"1;1_1.ce;0;1.ph;8;8.le;0_8.ce";"1;1_1.ce;1.ph;8.le;0;8;0_8.ce";3;0,8571
automotive_bitcount;bit_count;20;7;9;0;993077560;"1;1_1.ce;0;1.ph;8;8.le;0_8.ce";"1;1_1.ce;1.ph;8.le;0;8;0_8.ce";3;0,8571
automotive_bitcount;main;1;9;12;0;80;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;21.le;7;7_21.ce;0;4;21";9;0,7500
automotive_bitcount;main;2;9;12;0;39;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;21.le;7;7_21.ce;0;4;21";9;0,7500
automotive_bitcount;main;3;9;12;0;26;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;21.le;7;7_21.ce;0;4;21";9;0,7500
automotive_bitcount;main;4;9;12;0;19;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;21.le;7;7_21.ce;0;4;21";9;0,7500
automotive_bitcount;main;5;9;12;0;15;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;21.le;7;7_21.ce;0;4;21";9;0,7500
automotive_bitcount;main;6;9;12;0;13;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;21.le;7;7_21.ce;0;4;21";9;0,7500
automotive_bitcount;main;7;9;12;0;11;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;21.le;7;7_21.ce;0;4;21";9;0,7500
automotive_bitcount;main;8;9;12;0;9;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;21.le;7;7_21.ce;0;4;21";9;0,7500
automotive_bitcount;main;9;9;12;0;8;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;21.le;7;7_21.ce;0;4;21";9;0,7500
