Optimization;Hydra Hit Sum;Hydra Precision;Staleness
simplifycfg;120,9526;0,959941;0,040059
lcssa;126,8212;0,998592;0,001408
strip-dead-prototypes;129,8529;0,998868;0,001132
loop-vectorize;123,9610;0,976071;0,023929
final_results;1,3098;0,034468;0,965532
adce;129,8529;0,998868;0,001132
indvars;126,5427;0,996399;0,003601
dse;129,8529;0,998868;0,001132
tailcallelim;128,6863;0,989895;0,010105
loop-simplify;12,0000;1,000000;0,000000
mldst-motion;129,8529;0,998868;0,001132
jump-threading;126,9526;0,976558;0,023442
div-rem-pairs;129,8529;0,998868;0,001132
callsite-splitting;129,8529;0,998868;0,001132
loop-sink;126,8212;0,998592;0,001408
sroa;129,4243;0,995572;0,004428
speculative-execution;128,5428;0,988791;0,011209
mem2reg;129,8529;0,998868;0,001132
inline;3,0000;1,000000;0,000000
loop-deletion;126,8212;0,998592;0,001408
instsimplify;129,0734;0,992872;0,007128
inferattrs;129,8529;0,998868;0,001132
lower-constant-intrinsics;129,8529;0,998868;0,001132
licm;124,9269;0,983676;0,016324
correlated-propagation;129,6135;0,997027;0,002973
slp-vectorizer;129,7873;0,998364;0,001636
memcpyopt;129,8522;0,998863;0,001137
bdce;129,8529;0,998868;0,001132
reassociate;130,1781;0,993726;0,006274
loop-idiom;126,8212;0,998592;0,001408
sccp;129,4114;0,995472;0,004528
globalopt;129,8529;0,998868;0,001132
forceattrs;129,8529;0,998868;0,001132
gvn;126,1239;0,970184;0,029816
loop-load-elim;126,8212;0,998592;0,001408
loop-rotate;113,7472;0,895647;0,104353
aggressive-instcombine;129,8529;0,998868;0,001132
ipsccp;129,2593;0,994302;0,005698
