Benchmark Name;Function Name;Execution;Number of vertices;Number of edges;Min count;Max count;Block Ordering;Hydra Guess;Hydra Distance;Hydra Hit
automotive_bitcount;bit_count;1;7;9;0;1059527520;"5;5_5.ce;0;10;10.le;2;0_10.ce";"5;5_5.ce;0;10;10.le;2;0_10.ce";0;1,0000
automotive_bitcount;bit_shifter;1;7;9;0;2146754800;"3;13;7;0;16;3_16.ce;16split";"16split;3;13;16;7;0;3_16.ce";8;0,6190
automotive_bitcount;main;1;7;9;0;81;"11;20;0;23;23.le;8;5";"11;20;0;23;23.le;8;5";0;1,0000
automotive_bitcount;main1;1;15;19;0;630000560;"20;30;17;19;33;41;33_41.ce;0;16;43;9;9_16.ce;35;14;6";"20;30;17;19;33;41;33_41.ce;0;16;43;9;9_16.ce;35;14;6";0;1,0000
automotive_bitcount;ntbl_bitcnt;1;4;5;90000000;533116880;"0;11;8;0_11.ce";"0;11;8;0_11.ce";0;1,0000
automotive_qsort1;compare;1;4;5;73275076;148365384;"0;11;7;0_11.ce";"0;11;7;0_11.ce";0;1,0000
automotive_qsort1;main;1;7;9;0;227;"11;20;0;23;23.le;8;5";"11;20;0;23;23.le;8;5";0;1,0000
automotive_qsort1;main1;1;20;25;0;8170578;"15;18;21;28;0;11;15_59.ce;59;94;63;73;89;66;72;92;18_59split.ce;59split;59splitsplit;69;8";"15;21;18;28;0;11;15_59.ce;18_59split.ce;59splitsplit;94;59split;63;73;89;59;66;72;92;69;8";29;0,8474
automotive_qsort1;qsortx;1;41;55;0;68230078;"53;58;41;46;58_53.ce;46_41.ce;37;48;60;48split;60split;63;20;20_ter.outer;20_ter.backedge.outer.backedge;108;111;30;64;29;73;77;86;90;98;88;102;92;108.le;90_98.ce;86_108.ce;53_60.ce;41_48.ce;0;119;119.le;12;15;0_119.ce;12_119.ce;73_86.ce";"53;58;60split;41;53_60.ce;46;58_53.ce;37;41_48.ce;48;63;20;20_ter.outer;20_ter.backedge.outer.backedge;108;111;30;64;29;73;77;86;90;98;88;102;92;60;108.le;90_98.ce;86_108.ce;48split;46_41.ce;0;119;119.le;12;15;0_119.ce;12_119.ce;73_86.ce";120;0,8537
automotive_qsort1;shortsort;1;10;13;1280290;20260674;"10;12;17;12_17.ce;6;15;20;7;0;24";"10;12;17;12_17.ce;6;15;20;7;0;24";0;1,0000
automotive_qsort1;swap;1;7;9;1622906;743732100;"6;9;0;15;15.le;5;0_15.ce";"6;9;0;15;15.le;5;0_15.ce";0;1,0000
automotive_susan_c;corner_draw;1;7;9;0;279174;"4;11;55;9;0;56;40";"4;11;55;9;0;56;40";0;1,0000
automotive_susan_c;get_image;1;10;11;0;782;"0;20;28;47;9;20_25.ce;25;44;6;9_25.ce";"0;20;28;47;9;20_25.ce;25;44;6;9_25.ce";0;1,0000
automotive_susan_c;getint;1;14;18;0;7038;"22;34;14;4;9;0;16;21;36;14_19.ce;19;11;14_read.thread;16_19.ce";"22;34;14;4;9;0;16;21;14_19.ce;19;11;14_read.thread;16_19.ce;36";5;0,9451
automotive_susan_c;main;1;7;9;0;783;"11;15;0;18;18.le;8;5";"11;15;0;18;18.le;8;5";0;1,0000
automotive_susan_c;main1;1;56;81;0;1564;"36;0;0_33.ce;154;171;179;185;189;191;33;38;45;51;83;85;85_90.ce;90;105;107;112;117;122;133;138;143;143_148.ce;145;148;152;162;173;32;45_83.ce;49;50;52;53;54;55;56;57;60;62;62_83.ce;69;71;74;76;82;87;87_90.ce;87_97.ce;90_191.ce;90_97.ce;91;97";"38;0;0_33.ce;154;171;179;185;189;191;33;36;45;51;83;85;85_90.ce;90;105;107;112;117;122;133;138;143;143_148.ce;145;148;152;162;173;32;45_83.ce;49;50;52;53;54;55;56;57;60;62;62_83.ce;69;71;74;76;82;87;87_90.ce;87_97.ce;90_191.ce;90_97.ce;91;97";19;0,9877
automotive_susan_c;setup_brightness_lut;1;7;9;0;401948;"6;15;26;8;0;28;8_26.ce";"6;15;26;8;0;28;8_26.ce";0;1,0000
