Benchmark Name;Function Name;Execution;Number of vertices;Number of edges;Min count;Max count;Block Ordering;Hydra Guess;Hydra Distance;Hydra Hit
automotive_bitcount;bit_count;1;7;9;0;1059527520;"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";"3;3_3.ce;0;10;10.le;3.ph;0_10.ce";0;1,0000
automotive_bitcount;bit_shifter;1;4;5;90000000;2146754800;"3;9;0;16";"3;0;16;9";2;0,6667
automotive_bitcount;main;1;7;9;0;81;"11;14;0;23;23.le;8;5";"11;14;0;23;23.le;8;5";0;1,0000
automotive_bitcount;main1;1;15;19;0;630000560;"20;23;17;20.ph;33;41;33_41.ce;0;16;43;9;9_16.ce;35;14;6";"20;23;17;20.ph;33;41;33_41.ce;0;16;43;9;9_16.ce;35;14;6";0;1,0000
automotive_bitcount;ntbl_bitcnt;1;4;5;90000000;533116880;"0;11;8;0_11.ce";"0;11;8;0_11.ce";0;1,0000
automotive_qsort1;compare;1;4;5;73275076;148365384;"0;11;7;0_11.ce";"0;11;7;0_11.ce";0;1,0000
automotive_qsort1;main;1;7;9;0;227;"11;14;0;23;23.le;8;5";"11;14;0;23;23.le;8;5";0;1,0000
automotive_qsort1;main1;1;23;29;0;8170578;"15;18;21;28;0;11;15_57.ce;57;63;94;57_63.ce;63_94.ce;73;75;61;66;73.ph;92;18_57split.ce;57split;57splitsplit;69;8";"15;21;18;28;0;11;15_57.ce;57;57split;63;94;57_63.ce;63_94.ce;73;75;61;66;73.ph;92;18_57split.ce;57splitsplit;69;8";12;0,9526
automotive_qsort1;qsortx;1;39;52;0;68230078;"49;55;38;43;55_49.ce;43_38.ce;37;48;60;48split;60split;63;20;20_ter.outer;20_ter.backedge.outer.backedge;108;111;30;64;29;73;77;86;90;98;86_20.outer.backedge.ce;102;92;108.le;90_98.ce;86_108.ce;49_60.ce;38_48.ce;0;119;119.le;15;0_119.ce;73_86.ce";"49;55;38;49_60.ce;43;55_49.ce;37;38_48.ce;48;63;20;20_ter.outer;20_ter.backedge.outer.backedge;108;111;30;64;29;73;77;86;90;98;86_20.outer.backedge.ce;102;92;60;108.le;90_98.ce;86_108.ce;60split;43_38.ce;0;119;119.le;15;0_119.ce;48split;73_86.ce";140;0,8111
automotive_qsort1;shortsort;1;7;9;1280290;20260674;"10;12;6;20;7;0;24";"10;12;6;20;7;0;24";0;1,0000
automotive_qsort1;swap;1;7;9;1622906;743732100;"6;9;0;15;15.le;6.ph;0_15.ce";"6;9;0;15;15.le;6.ph;0_15.ce";0;1,0000
automotive_susan_c;corner_draw;1;7;9;0;279174;"4;11;55;9;0;56;40";"4;11;55;9;0;56;40";0;1,0000
automotive_susan_c;getint;1;14;18;0;7038;"22;29;29_22.ce;14;4;4_14.ce;0;22.ph;36;36split;19;11;22_36.ce;6";"22;29;29_22.ce;14;4_14.ce;0;19;36;36split;4;11;22.ph;22_36.ce;6";11;0,8791
automotive_susan_c;main;1;7;9;0;783;"11;14;0;18;18.le;8;5";"11;14;0;18;18.le;8;5";0;1,0000
