bb;0
bb6;6
bb13;13
bb21;21
bb.bb10_crit_edge;0_10.ce
bb2;2
bb3;3
bb5;5
bb5.bb3_crit_edge;5_3.ce
bb9;9
bb10;10
bb.bb11_crit_edge;0_11.ce
bb8;8
bb11;11
bb.bb16_crit_edge;0_16.ce
bb12;12
bb16;16
bb9.bb16_crit_edge;9_16.ce
bb14;14
bb17;17
bb19;19
bb20;20
bb23;23
bb30;30
bb33;33
bb33.bb40_crit_edge;33_40.ce
bb35;35
bb40;40
bb41;41
bb43;43
bb3.bb7_crit_edge;3_7.ce
bb4;4
bb7;7
bb.bb13_crit_edge;0_13.ce
bb15;15
bb23.bb36_crit_edge;23_36.ce
bb32;32
bb32.bb36_crit_edge;32_36.ce
bb34;34
bb36;36
bb37;37
bb2.bb12_crit_edge;2_12.ce
bb3.bb12_crit_edge;3_12.ce
bb22;22
bb15.bb26_crit_edge;15_26.ce
bb18;18
bb18.bb26_crit_edge;18_26.ce
bb21.bb26_crit_edge;21_26.ce
bb24;24
bb26;26
bb28;28
bb57;57
bb59;59
bb59.bb63_crit_edge;59_63.ce
bb61;61
bb63;63
bb63.bb94_crit_edge;63_94.ce
bb66;66
bb69;69
bb72;72
bb73;73
bb75;75
bb89;89
bb92;92
bb94;94
bb.bb14_crit_edge;0_14.ce
bb12.bb14_crit_edge;12_14.ce
bb20.outer;20_ter.outer
bb29;29
bb38;38
bb41.bb46_crit_edge;41_46.ce
bb46;46
bb46.bb38_crit_edge;46_38.ce
bb48;48
bb49;49
bb53;53
bb53.bb58_crit_edge;53_58.ce
bb55;55
bb58;58
bb58.bb49_crit_edge;58_49.ce
bb60;60
bb62;62
bb64;64
bb73.bb86_crit_edge;73_86.ce
bb77;77
bb86;86
bb88;88
bb90;90
bb90.bb98_crit_edge;90_98.ce
bb98;98
bb102;102
bb106;106
bb107;107
bb108;108
bb111;111
bb20.outer.backedge;20_ter.backedge.outer.backedge
bb118;118
bb119;119
bb12.bb16_crit_edge;12_16.ce
bb.bb15_crit_edge;0_15.ce
bb4.bb9_crit_edge;4_9.ce
bb14.bb19_crit_edge;14_19.ce
bb16.bb19_crit_edge;16_19.ce
bb29.bb33_crit_edge;29_33.ce
bb31;31
bb33split;33split
bb9.bb25_crit_edge;9_25.ce
bb20.bb25_crit_edge;20_25.ce
bb25;25
bb44;44
bb47;47
bb12.bb21_crit_edge;12_21.ce
bb21.bb30_crit_edge;21_30.ce
bb8.bb18_crit_edge;8_18.ce
bb16.bb374_crit_edge;16_374.ce
bb368;368
bb374;374
bb375;375
bb377;377
bb378;378
bb380;380
bb16.bb114_crit_edge;16_114.ce
bb114;114
bb115;115
bb117;117
bb120;120
bb76;76
bb79;79
bb79.bb101_crit_edge;79_101.ce
bb101;101
bb104;104
bb105;105
bb27;27
bb71;71
bb74;74
bb80;80
bb121;121
bb123;123
bb124;124
bb126;126
bb35.bb44_crit_edge;35_44.ce
bb37.bb44_crit_edge;37_44.ce
bb39;39
bb44.bb54_crit_edge;44_54.ce
bb49.bb54_crit_edge;49_54.ce
bb54;54
bb82;82
bb84;84
bb100;100
bb103;103
bb109;109
bb113;113
bb136;136
bb138;138
bb140;140
bb142;142
bb158;158
bb160;160
bb163;163
bb165;165
bb168;168
bb173;173
bb179;179
bb180;180
bb182;182
bb183;183
bb185;185
bb186;186
bb187;187
bb191;191
bb192;192
bb196;196
bb322;322
bb327;327
bb333;333
bb334;334
bb336;336
bb337;337
bb339;339
bb340;340
bb.bb41_crit_edge;0_41.ce
bb11.bb36_crit_edge;11_36.ce
bb42;42
bb45;45
bb45.bb54_crit_edge;45_54.ce
bb56;56
bb50;50
bb53.bb954_crit_edge;53_954.ce
bb61.bb140_crit_edge;61_140.ce
bb135;135
bb140.bb526_crit_edge;140_526.ce
bb142.bb526_crit_edge;142_526.ce
bb150;150
bb221;221
bb240;240
bb249;249
bb268;268
bb278;278
bb297;297
bb306;306
bb325;325
bb353;353
bb363;363
bb382;382
bb391;391
bb410;410
bb410.bb439_crit_edge;410_439.ce
bb420;420
bb439;439
bb440;440
bb441;441
bb442;442
bb443;443
bb444;444
bb445;445
bb446;446
bb447;447
bb449;449
bb450;450
bb452;452
bb452.bb467_crit_edge;452_467.ce
bb460;460
bb467;467
bb468;468
bb470;470
bb471;471
bb473;473
bb473.bb525_crit_edge;473_525.ce
bb475;475
bb483;483
bb492;492
bb509;509
bb509.bb524_crit_edge;509_524.ce
bb513;513
bb513.bb520_crit_edge;513_520.ce
bb519;519
bb520;520
bb520.bb523_crit_edge;520_523.ce
bb522;522
bb523;523
bb524;524
bb525;525
bb526;526
bb526.bb838_crit_edge;526_838.ce
bb528;528
bb528.bb684_crit_edge;528_684.ce
bb573;573
bb573.bb684_crit_edge;573_684.ce
bb578;578
bb580;580
bb582;582
bb583;583
bb584;584
bb585;585
bb587;587
bb588;588
bb589;589
bb590;590
bb590.bb683_crit_edge;590_683.ce
bb603;603
bb603.bb637_crit_edge;603_637.ce
bb605;605
bb605.bb637_crit_edge;605_637.ce
bb615;615
